manga,stem,method,iou,precision,recall,f1,tp,fp,fn,inference_time_seconds
Arisa,008,standin,0.004184236460066282,0.004228539866799039,0.2853899361106711,0.008333603153971992,5405,1272814,13534,0.0
Arisa,009,standin,0.003476235074364038,0.003584636771378861,0.10310076019885099,0.0069283854522103885,5330,1481571,46367,0.0
BEMADER_P,000,standin,0.01466029343983454,0.016166786747930612,0.13593886439197947,0.028896949125966433,25064,1525275,159313,0.0
BEMADER_P,001,standin,0.0003362998810646762,0.00033668996807604266,0.22496570644718794,0.0006723736429531962,492,1460793,1695,0.0
BEMADER_P,002,standin,0.000856237322241789,0.0008629018498050863,0.09979889391654098,0.001711009614193191,794,919357,7162,0.0
BEMADER_P,003,standin,0.00098585097239145,0.001005020891796562,0.04914511050292811,0.0019697600549173824,1670,1659987,32311,0.0
BEMADER_P,004,standin,0.005098602494129802,0.005195715473434221,0.2143208661417323,0.010145477232736637,6968,1334137,25544,0.0
BEMADER_P,005,standin,0.007384810956239528,0.007594747481611089,0.21083110121854604,0.014661350609862076,11177,1460498,41837,0.0
BEMADER_P,006,standin,0.004722018287392378,0.004805942268147804,0.21285153695225636,0.009399651249688615,6509,1347856,24071,0.0
BEMADER_P,007,standin,0.0028960334187997047,0.0029626861317113696,0.11404658127657298,0.005775341256316145,4265,1435307,33132,0.0
BEMADER_P,008,standin,0.0018260706821332144,0.0018387901376577312,0.20885212348626983,0.0036454844519864843,2449,1329405,9277,0.0
BEMADER_P,009,standin,0.004457414469983028,0.004536372427928383,0.2038798962065983,0.008875268191106041,6600,1448307,25772,0.0
BakuretsuKungFuGirl,000,standin,0.08807681183832901,0.0979794851342885,0.4656560123402439,0.16189447450777184,138562,1275632,159001,0.0
BakuretsuKungFuGirl,001,standin,0.06749229026669966,0.07123312785597415,0.562399619296889,0.1264501690215253,113454,1479260,88278,0.0
BakuretsuKungFuGirl,002,standin,0.005043463834485599,0.00509786324588632,0.32094360915941605,0.01003630990294401,8816,1720536,18653,0.0
BakuretsuKungFuGirl,003,standin,0.0015544493084879711,0.001564980513920587,0.1876507124588966,0.0031040734920826786,2568,1638347,11117,0.0
BakuretsuKungFuGirl,004,standin,0.005070190617228032,0.0051402738091180815,0.2710704713857796,0.010089226930736758,8597,1663882,23118,0.0
BakuretsuKungFuGirl,005,standin,0.0038723361041235554,0.0039043463129441558,0.320798087532181,0.0077147979177342495,6978,1780261,14774,0.0
BakuretsuKungFuGirl,006,standin,0.003542401480852963,0.0035780529304676872,0.26227720696162715,0.007059794335796284,6254,1741624,17591,0.0
BakuretsuKungFuGirl,007,standin,0.004420762387211689,0.004459667566947673,0.3363191104443366,0.008802610524905602,7622,1701474,15041,0.0
BakuretsuKungFuGirl,008,standin,0.0021180071182253742,0.0021344591546922165,0.2155549993742961,0.004227061290548193,3445,1610547,12537,0.0
BakuretsuKungFuGirl,009,standin,0.004886169020823809,0.0049402422880189395,0.3086332011670532,0.009724820922920983,8251,1661910,18483,0.0
BurariTessenTorimonocho,000,standin,0.054714464474787894,0.06217011721394782,0.3133023876657268,0.10375218377617272,83559,1260479,183145,0.0
BurariTessenTorimonocho,001,standin,0.0009813470640347313,0.0009835542855741283,0.30424886191198786,0.0019607699322531985,1203,1221912,2751,0.0
BurariTessenTorimonocho,002,standin,0.012136411593655912,0.012362155792214431,0.39925925925925926,0.023981770549182335,11319,904298,17031,0.0
BurariTessenTorimonocho,003,standin,0.005542724107812865,0.005614975761125581,0.30106494048861976,0.011024343322121403,7209,1276679,16736,0.0
BurariTessenTorimonocho,004,standin,0.0064209064168210045,0.006518110960580918,0.3009720005802988,0.012759882820164135,10373,1581039,24092,0.0
BurariTessenTorimonocho,005,standin,0.005666715671861217,0.005759961505614636,0.2592829274855375,0.011269569895381143,7709,1330668,22023,0.0
BurariTessenTorimonocho,006,standin,0.001766166833382738,0.0017745223443866715,0.2727770177838577,0.003526105975340836,2991,1682533,7974,0.0
BurariTessenTorimonocho,007,standin,0.002617546382595613,0.002635847773098046,0.2737786766099981,0.00522142544191375,4332,1639162,11491,0.0
BurariTessenTorimonocho,008,standin,0.007482702467707589,0.007633726462520132,0.2744285553428668,0.01485425496513163,12186,1584151,32219,0.0
BurariTessenTorimonocho,009,standin,0.008257712588481398,0.008457859726606424,0.2586860587979365,0.016380162502861544,12486,1463774,35781,0.0
Count3DeKimeteAgeru,000,standin,0.0025252937597485072,0.002531042089159284,0.5264949674363528,0.005037865429365783,3557,1401793,3199,0.0
Count3DeKimeteAgeru,001,standin,0.00031793175333325285,0.00031813715450765257,0.3299522673031026,0.0006356614097199873,553,1737691,1123,0.0
Count3DeKimeteAgeru,002,standin,0.0036530581371639797,0.003704111270061991,0.2095137500471538,0.00727952375085522,5554,1493861,20955,0.0
