manga,page_id,image_path,gt_path,prediction_mask,image_height,image_width,threshold,inference_time_sec,iou,precision,recall,f1,tp,fp,fn
HaruichibanNoFukukoro,001,/content/data/raw/Manga109s_released_2026_05_21/images/HaruichibanNoFukukoro/001.jpg,/content/data/groundtruth/post-processed/HaruichibanNoFukukoro/001.png,/content/benchmark_unetpp/masks/HaruichibanNoFukukoro/001.png,1170,1654,0.5,0.32262095199996565,0.9067574899029477,0.9380152405183273,0.9645527412632254,0.9510989149953211,150422,9940,5528
HaruichibanNoFukukoro,008,/content/data/raw/Manga109s_released_2026_05_21/images/HaruichibanNoFukukoro/008.jpg,/content/data/groundtruth/post-processed/HaruichibanNoFukukoro/008.png,/content/benchmark_unetpp/masks/HaruichibanNoFukukoro/008.png,1170,1654,0.5,0.3229464089999965,0.37502427153046564,0.4004063355170412,0.855409235856856,0.5454802206699176,28971,43383,4897
HaruichibanNoFukukoro,007,/content/data/raw/Manga109s_released_2026_05_21/images/HaruichibanNoFukukoro/007.jpg,/content/data/groundtruth/post-processed/HaruichibanNoFukukoro/007.png,/content/benchmark_unetpp/masks/HaruichibanNoFukukoro/007.png,1170,1654,0.5,0.321563152000067,0.29373871709287375,0.2997773241788829,0.935824230387289,0.454092798201056,22617,52829,1551
YasasiiAkuma,000,/content/data/raw/Manga109s_released_2026_05_21/images/YasasiiAkuma/000.jpg,/content/data/groundtruth/post-processed/YasasiiAkuma/000.png,/content/benchmark_unetpp/masks/YasasiiAkuma/000.png,1170,1654,0.5,0.32257017099993845,0.924471026689108,0.9504372276982974,0.9712959454338764,0.9607533850791024,30759,1604,909
YasasiiAkuma,005,/content/data/raw/Manga109s_released_2026_05_21/images/YasasiiAkuma/005.jpg,/content/data/groundtruth/post-processed/YasasiiAkuma/005.png,/content/benchmark_unetpp/masks/YasasiiAkuma/005.png,1170,1654,0.5,0.32049755899993215,0.346298114001262,0.4107826014637392,0.6880855361682862,0.5144449218190577,19757,28339,8956
YasasiiAkuma,003,/content/data/raw/Manga109s_released_2026_05_21/images/YasasiiAkuma/003.jpg,/content/data/groundtruth/post-processed/YasasiiAkuma/003.png,/content/benchmark_unetpp/masks/YasasiiAkuma/003.png,1170,1654,0.5,0.32315079199997854,0.0035159758757859617,0.0035421568373969026,0.32235294117647056,0.00700731420387704,137,38540,288
YasasiiAkuma,009,/content/data/raw/Manga109s_released_2026_05_21/images/YasasiiAkuma/009.jpg,/content/data/groundtruth/post-processed/YasasiiAkuma/009.png,/content/benchmark_unetpp/masks/YasasiiAkuma/009.png,1170,1654,0.5,0.3237767809999923,0.021713336497389654,0.02182989383275677,0.8026315789473685,0.042503774242248285,549,24600,135
YasasiiAkuma,004,/content/data/raw/Manga109s_released_2026_05_21/images/YasasiiAkuma/004.jpg,/content/data/groundtruth/post-processed/YasasiiAkuma/004.png,/content/benchmark_unetpp/masks/YasasiiAkuma/004.png,1170,1654,0.5,0.32327357799999845,0.05190918472652219,0.053497832965513574,0.6361049636421119,0.09869518296870401,2012,35597,1151
YasasiiAkuma,006,/content/data/raw/Manga109s_released_2026_05_21/images/YasasiiAkuma/006.jpg,/content/data/groundtruth/post-processed/YasasiiAkuma/006.png,/content/benchmark_unetpp/masks/YasasiiAkuma/006.png,1170,1654,0.5,0.3213355020000108,0.3751183118980012,0.3842863253956937,0.9402037398827798,0.5455796910743568,13475,21590,857
YasasiiAkuma,002,/content/data/raw/Manga109s_released_2026_05_21/images/YasasiiAkuma/002.jpg,/content/data/groundtruth/post-processed/YasasiiAkuma/002.png,/content/benchmark_unetpp/masks/YasasiiAkuma/002.png,1170,1654,0.5,0.3229754310000317,0.5180742334588488,0.5338790443282396,0.9459468308014667,0.6825413699018461,28893,25226,1651
